Mean square error
0.010729267228652459
Point,X(mm),Y(mm),Z(mm),dX(mm),dY(mm),dZ(mm),dP(mm)
4201,599.3,1894.335,-4929.802,0.0,0.0,0.0,0.0
4202,597.4807127339438,1649.8187344649068,-4926.314898104122,0.10937947320860637,0.10257077790053795,0.2137414610323067,0.26109394057070495
4203,600.794020230566,1379.7254682836738,-4930.780164382091,0.1077330431379042,0.09317427275510719,0.21265496658082045,0.255949191244447
4204,600.9251193386392,930.8377561266486,-4930.067645958258,0.10616929649880968,0.08039679371121597,0.21096967190627136,0.24948700652005057
4205,599.9871630050367,474.7211012665536,-4929.884872837337,0.10554343266257996,0.07133936301473548,0.2099315310171717,0.24556051923866443
4206,600.0822645221818,191.69623714982131,-4928.903301049138,0.10528474717243273,0.06833122427145538,0.20930736735207542,0.24405656767531508
4207,598.4953954816692,14.215080836992335,-4929.001820025329,0.1052393542410882,0.06712995106605699,0.20874191318305052,0.2432178824234202
4208,598.7429822552768,-189.1608812970905,-4928.596923042463,0.10502648283334787,0.06598686205761709,0.20808013902816758,0.24224403463973276
4209,599.5473620500676,-391.73335682347954,-4928.532203486047,0.10451816077311145,0.06626827570887527,0.20756508138254534,0.2416584227916837
4210,599.7283043845957,-630.2255343360498,-4928.846570879531,0.10417761233492903,0.06856193246960914,0.20723155760110173,0.24186490436099395
4211,598.599,-951.911,-4929.12,0.0,0.0,0.0,0.0
2201,597.747,1785.157,-5930.748,0.0,0.0,0.0,0.0
2202,600.4824434350431,1446.4177402183918,-5933.977145188686,0.12600392456933387,0.11063135804424168,0.2960371803387424,0.34022683393950665
2203,599.2150005407831,922.3914507896098,-5933.93595764985,0.1252226948409929,0.09422938332737762,0.2941670658392694,0.3333079096120933
2206,599.0942760993237,-299.5279885218437,-5933.645981598372,0.12318346262158382,0.07769955391927486,0.2900558157226483,0.32456703834066136
2207,597.5485772213016,-577.3060939258017,-5933.224639336277,0.12309330520662841,0.07922296087757945,0.2893035678691143,0.32422953859681247
2209,598.152,-1046.647,-5934.445,0.0,0.0,0.0,0.0
4301,1617.9486649331193,1883.4829563264389,-4916.8156102890425,0.08470161965664286,0.10937688202472155,0.2144951155470091,0.25523679454074255
4302,1616.1610208320587,1687.2168726322793,-4913.004624602019,0.08283794310448055,0.1017796650896399,0.21291856825768496,0.25011105883675533
4303,1615.067295331347,1314.7693956144196,-4916.117720288911,0.08153668984370151,0.08941879220907742,0.21148653892600436,0.2436606417493365
4304,1616.1394392099667,1000.9520492997493,-4916.310979522865,0.08122792328933023,0.08080723992666038,0.21053176714604946,0.2396902386917343
4305,1617.4880592583454,689.5522659671723,-4916.677864819752,0.08117932215744673,0.07402733505324316,0.20969967317874952,0.2367363124075012
4306,1616.0645251652718,387.14257436677576,-4916.722072877073,0.08129752037649254,0.06867521901083207,0.2088485855936212,0.2343998810366765
4307,1619.2189120560377,145.31280293716964,-4917.358001318601,0.08096804219080092,0.06552808697135784,0.20818102360810595,0.2327855077724039
4308,1617.4416996127832,-186.66722410651306,-4918.080355978791,0.08012215642680266,0.0640734628925467,0.20718654181935148,0.23119522423394795
4309,1617.9989830259512,-482.55436243016726,-4918.3229128375415,0.07967908803807895,0.06527212868230567,0.2064067702174233,0.23067935027844946
4310,1618.1989115775073,-681.1560667319577,-4918.573455690349,0.07963147845416521,0.06729170571128956,0.2060835865023698,0.23095408774042236
4311,1620.1994541304393,-913.0223254403426,-4919.000276105745,0.07953808162949286,0.07110912798849935,0.20582347466001052,0.23183208844701514
3301,1609.393067154983,1794.983150231085,-5420.3488870888805,0.09151636305226972,0.1155354164887634,0.2547136684732013,0.2942834179436938
3302,1611.7657954051663,1457.539604264866,-5417.098473112602,0.09067007487617089,0.10277568475486254,0.25281819774721026,0.28757771987243524
3303,1610.6768950359751,1133.0935515741608,-5421.981200978651,0.08909274895288266,0.09172327203119697,0.25150396250269885,0.28214343817046195
3304,1613.3094775586662,852.5961046494704,-5422.01051687495,0.08767079459666592,0.08344553464133611,0.2500651610436742,0.27781632465459605
3305,1612.7632506725806,536.4623436953864,-5421.897305497362,0.0872237483431023,0.07622628286072054,0.24891505475372952,0.2745489627677285
3306,1612.559352109856,207.44359582569712,-5421.407554992028,0.08707838840810468,0.07169762220681851,0.2479991948993189,0.27244594955435614
3307,1613.284049465656,68.8320103401518,-5420.904321142956,0.0873283927292178,0.07084465201698817,0.2477351631915731,0.27206235310610694
3308,1613.787547246348,-119.3874335898494,-5420.331815619215,0.08759167455850421,0.06978879477632409,0.2473019088103031,0.27147930202782355
3309,1612.8016613033901,-359.52734510767834,-5420.572650694481,0.08725958443311087,0.0700764091681952,0.2466395866975631,0.2708431721932312
3310,1612.8153848771012,-507.0783954637208,-5421.16867378038,0.0867334832104903,0.07119926458305065,0.2460762679623846,0.2704543622153042
3311,1610.319298235613,-682.3928168290327,-5422.063132231697,0.08666714866407134,0.0730716729458846,0.24563385536953147,0.2705303216801593
4801,2141.0143161542755,1870.7011301489458,-4855.599648151557,0.07330927762192552,0.10747808248495615,0.210712914557048,0.2476403052033683
4802,2141.544447188152,1656.8557629823486,-4855.376576748601,0.07381319576093494,0.1006362810421573,0.2101083294055896,0.24437994806457816
4803,2141.7041377102896,1476.143315960244,-4851.174872842318,0.07421650099720425,0.09468506814406975,0.20922574685791046,0.24134780773391246
4804,2140.5781778950964,1111.5899603478438,-4853.335650079937,0.07313537418167779,0.08325033697334737,0.2077912286783924,0.23549224250184095
4805,2142.1753827476064,793.7050653627432,-4852.056481130812,0.07137665332293192,0.07465064425159862,0.20614640164430492,0.23057251405502743
4806,2141.747177363042,468.69142940069213,-4852.954854590012,0.07034882306017681,0.06781081997819528,0.204853528751021,0.22696306407389874
4807,2140.4173668876583,223.63016430604856,-4853.477367372426,0.07021211528974756,0.06447727852797332,0.20419101069062726,0.22534646530774452
4808,2140.068789563918,-32.17264752659625,-4854.134433310851,0.07036503926685883,0.0631365010875351,0.20376749010622358,0.22463002146817515
4809,2140.6111939576836,-308.1552611337379,-4854.551286926048,0.07085598233402268,0.0633719332481992,0.20341208838033376,0.22452850566327265
4810,2140.238771981259,-516.160580912989,-4855.076872521776,0.07122681889521491,0.06468857346234368,0.20317387370480075,0.22480545861419626
4811,2139.0020743469304,-740.9269744826698,-4857.351134747287,0.07096019146059004,0.06747908334238982,0.20275560496321468,0.22516352014669683
3801,2133.2710883332106,1891.5823950739752,-5421.751941918248,0.07945118307373829,0.11800226232644906,0.2559547145195576,0.2928307365881611
3802,2137.8041905730565,1667.8039707046648,-5422.495692726761,0.07890450464670892,0.10940065134461646,0.25496831810917264,0.288449764443636
3803,2134.207348604071,1455.5731100570058,-5420.089974328361,0.07920748211242869,0.10232421739447387,0.25410777159978865,0.28515755342510674
3804,2138.8839666812514,1130.298964930909,-5424.245900077721,0.07945855980454165,0.09212309623470832,0.25338312325179074,0.2810753186156932
3805,2141.2108341541693,840.3473707628527,-5423.826390362769,0.07940437526549644,0.08372406009301966,0.2523399280741947,0.27747110182909696
3806,2135.8108782747418,523.9403528929018,-5425.459932333334,0.07840902955228042,0.07625598503867327,0.2510660672769656,0.2738560229527015
3807,2138.3063179061423,206.31500779954234,-5423.639069736303,0.0771553740876613,0.07108944020077598,0.24943754249631273,0.2706025644099968
3808,2137.6293792521715,63.37120091257469,-5422.291810243879,0.07680789850196584,0.06939919862696267,0.24867482974171679,0.26936011766671164
3809,2136.1274275876513,-165.05879927352595,-5421.4364122863,0.07678029184452566,0.06875730518486066,0.24804948693111029,0.26860999273817354
3810,2135.3166897253263,-334.6619874497087,-5421.886847669103,0.07708224921142391,0.06960838534392623,0.24791011269943994,0.26878694989215823
3811,2135.57408334729,-571.1178106442352,-5421.692771594926,0.07767415342307342,0.07156175631031461,0.24764364458560298,0.26922431870068586
3812,2133.5793815797942,-813.7752880595801,-5421.573483223739,0.07784805067574375,0.07512692174817391,0.24718375023566921,0.26982249673802056
2801,2152.608851573444,1883.1907241563708,-5920.885348075443,0.0854345063778573,0.1270236386501101,0.30032752938881274,0.3370915077018851
2802,2150.6377767908175,1661.1649165224746,-5921.447615623999,0.08433100475962041,0.11750493041654465,0.29892691162256285,0.3320789447227385
