Point,X(mm),Y(mm),Z(mm),dX(mm),dY(mm),dZ(mm),dP(mm)
4201.0,599.3,1894.335,-4929.802,0.0,0.0,0.0,0.0
4202.0,597.4807127339438,1649.8187344649068,-4926.314898104122,0.1687127339438348,-0.1732655350931509,0.551101895877764,0.6018290719847165
4203.0,600.794020230566,1379.7254682836738,-4930.780164382091,0.06502023056600592,-0.29353171632624253,0.3018356179090915,0.42602023321768345
4204.0,600.9251193386392,930.8377561266486,-4930.067645958258,0.2711193386392097,-0.4582438733514209,0.4153540417419208,0.675286697069937
4205.0,599.9871630050367,474.7211012665536,-4929.884872837337,0.09516300503662478,-0.5528987334463977,-0.07787283733705408,0.5664072614022129
4206.0,600.0822645221818,191.69623714982131,-4928.903301049138,-0.0017354778181015718,-0.5747628501786721,0.12469895086269389,0.5881370369012858
4207.0,598.4953954816692,14.215080836992335,-4929.001820025329,-0.061604518330796054,-0.4119191630076653,0.23717997467065288,0.47929829325429113
4208.0,598.7429822552768,-189.1608812970905,-4928.596923042463,-0.0090177447231099,-0.2058812970904853,0.2440769575377999,0.3194401186646111
4209.0,599.5473620500676,-391.73335682347954,-4928.532203486047,0.13736205006762248,-0.2833568234795507,0.37979651395289693,0.49336073437392064
4210.0,599.7283043845957,-630.2255343360498,-4928.846570879531,0.21530438459569723,-0.23553433604979546,0.19442912046906713,0.37367778147880953
4211.0,598.599,-951.911,-4929.12,0.0,0.0,0.0,0.0
2201.0,597.747,1785.157,-5930.748,0.0,0.0,0.0,0.0
2202.0,600.4824434350431,1446.4177402183918,-5933.977145188686,0.10544343504318476,-0.15725978160821796,0.16885481131339475,0.2536945096151134
2203.0,599.2150005407831,922.3914507896098,-5933.93595764985,0.08900054078310404,-0.30754921039010696,0.28804235015013546,0.430669256566192
2206.0,599.0942760993237,-299.5279885218437,-5933.645981598372,-0.07672390067637025,-0.2969885218437298,0.13101840162835288,0.3335484381722833
2207.0,597.5485772213016,-577.3060939258017,-5933.224639336277,0.028577221301588906,-0.17409392580179883,0.11936066372345522,0.21300779474682607
2209.0,598.152,-1046.647,-5934.445,0.0,0.0,0.0,0.0
4301.0,1617.9486649331193,1883.4829563264389,-4916.8156102890425,0.23666493311930026,-0.3870436735610383,0.4923897109574682,0.6695227578423049
4302.0,1616.1610208320587,1687.2168726322793,-4913.004624602019,0.5890208320588499,-0.29712736772057724,0.7453753979807516,0.9953967536428994
4303.0,1615.067295331347,1314.7693956144196,-4916.117720288911,0.4272953313468406,-0.2966043855803946,0.6062797110889733,0.7988307391522053
4304.0,1616.1394392099667,1000.9520492997493,-4916.310979522865,0.355439209966562,-0.40595070025062796,0.38002047713507636,0.6599610337418415
4305.0,1617.4880592583454,689.5522659671723,-4916.677864819752,0.2910592583455127,-0.4877340328276887,0.39213518024735095,0.6901956086752676
4306.0,1616.0645251652718,387.14257436677576,-4916.722072877073,0.13152516527179614,-0.3494256332242571,0.5119271229277729,0.6336138583104487
4307.0,1619.2189120560377,145.31280293716964,-4917.358001318601,0.2729120560377396,-0.17819706283037817,0.44899868139873433,0.5548288019109338
4308.0,1617.4416996127832,-186.66722410651306,-4918.080355978791,0.688699612783239,-0.027224106513074275,0.45064402120897284,0.82348548407037
4309.0,1617.9989830259512,-482.55436243016726,-4918.3229128375415,0.28498302595130554,-0.2903624301672494,0.23808716245821415,0.47139279042047016
4310.0,1618.1989115775073,-681.1560667319577,-4918.573455690349,0.3399115775073369,-0.38906673195765507,0.22554430965101346,0.5637224831915864
4311.0,1620.1994541304393,-913.0223254403426,-4919.000276105745,0.41845413043938606,-0.11332544034257808,0.4917238942553013,0.6555447375215674
3301.0,1609.393067154983,1794.983150231085,-5420.3488870888805,0.2040671549830222,-0.5358497689151136,1.1091129111191549,1.2485631054137598
3302.0,1611.7657954051663,1457.539604264866,-5417.098473112602,0.26179540516636735,-0.29139573513384676,1.0555268873986279,1.1258709156212594
3303.0,1610.6768950359751,1133.0935515741608,-5421.981200978651,0.3378950359751798,-0.23244842583926584,0.9327990213487283,1.0189795583037797
3304.0,1613.3094775586662,852.5961046494704,-5422.01051687495,0.4854775586661617,-0.2558953505296131,0.8994831250502102,1.053679639473603
3305.0,1612.7632506725806,536.4623436953864,-5421.897305497362,0.33425067258053787,-0.24465630461361343,0.45269450263822364,0.6136061702970398
3306.0,1612.559352109856,207.44359582569712,-5421.407554992028,0.34035210985598496,-0.2714041743028872,0.1594450079719536,0.46359734153641213
3307.0,1613.284049465656,68.8320103401518,-5420.904321142956,0.2500494656558203,-0.19398965984819938,0.19867885704388755,0.37367099384223934
3308.0,1613.787547246348,-119.3874335898494,-5420.331815619215,0.20654724634800914,-0.10543358984939744,0.20818438078458712,0.3116388025345016
3309.0,1612.8016613033901,-359.52734510767834,-5420.572650694481,0.3586613033901358,-0.06334510767834445,0.09234930551883735,0.37573784404302907
3310.0,1612.8153848771012,-507.0783954637208,-5421.16867378038,0.3763848771011453,-0.01639546372081213,-0.15067378038020252,0.4057548213331867
3311.0,1610.319298235613,-682.3928168290327,-5422.063132231697,0.3562982356129396,-0.23881682903265755,-0.4631322316963633,0.6312474748988398
4801.0,2141.0143161542755,1870.7011301489458,-4855.599648151557,0.5913161542757734,-0.601869851054289,0.7493518484434389,1.1284636922299276
4802.0,2141.544447188152,1656.8557629823486,-4855.376576748601,0.1254471881520658,-0.5562370176514833,0.11142325139917375,0.5809920462221835
4803.0,2141.7041377102896,1476.143315960244,-4851.174872842318,0.09213771028953488,-0.33368403975600813,-0.0018728423183347331,0.3461761164257824
